,student_id,text,text_clean,text_len_log,lemmas,time_log,time_read_log,log_punct_num,mark,score_0,score_1,score_2,Preprocessed_texts
0,52017273084,они умные пушистые не бешеные&nbsp;<div><br></div>,они умные пушистые не бешеные,4.857980995,умный пушистый бешеный,"6,096240766",7.523130651,3.169925001,0,1,0,0,"['умный', 'пушистый', 'бешеный']"
1,24007705226,Морская свинка очень милая и хорошая но для того чтобы её содержать нужна очень большая клетка и надо будет их выпускать что бы они гуляли по дому ну и их надо конечно каждый день трогать если их ребёнок не потрогал то нужно что бы их потрогал родитель<div><br></div>,морская свинка очень милая и хорошая но для того чтобы её содержать нужна очень большая клетка и надо будет их выпускать что бы они гуляли по дому ну и их надо конечно каждый день трогать если их ребёнок не потрогал то нужно что бы их потрогал родитель,7.977279923,морской свинка очень милый хороший содержать нужный очень больший клетка выпускать гулять каждый день трогать ребёнок потрогать нужно потрогать родитель,"7,851749041",7.700439718,2.807354922,0,1,0,0,"['морской', 'свинка', 'очень', 'милый', 'хороший', 'содержать', 'нужный', 'очень', 'больший', 'клетка', 'выпускать', 'гулять', 'каждый', 'день', 'трогать', 'ребёнок', 'потрогать', 'нужно', 'потрогать', 'родитель']"
2,52020972109,морская свинка требует много внимания. и еще нужно чаще менять клетку.,морская свинка требует много внимания и еще нужно чаще менять клетку,6.087462841,морской свинка требовать внимание нужно частый менять клетка,"6,993017619",3.105845667,1,0,1,0,0,"['морской', 'свинка', 'требовать', 'внимание', 'нужно', 'частый', 'менять', 'клетка']"
3,52018569926,Они плавают,они плавают,3.459431619,плавать,"6,997766603",1.076559095,0,0,1,0,0,['плавать']
4,52004936049,за ней нужен уход. и ей нужно жить там где она живет.&nbsp;,за ней нужен уход и ей нужно жить там где она живет,5.672425342,нужный уход нужно жить жить,"8,417223835",6.465370495,2,0,1,0,0,"['нужный', 'уход', 'нужно', 'жить', 'жить']"
5,52023770081,"было в клетке просторно,и всего хватало",было в клетке просторно и всего хватало,5.285402219,клетка просторно весь хватать,"7,45043597",7.598417316,0,0,1,0,0,"['клетка', 'просторно', 'весь', 'хватать']"
6,52026941822,кормить и ухаживать,кормить и ухаживать,4.247927513,кормить ухаживать,"5,874993639",6.464423223,0,0,1,0,0,"['кормить', 'ухаживать']"
7,24039328208,Из игрушек ей нужен лабиринт и чтобы в нём были разные шуршащие предметы<br>,из игрушек ей нужен лабиринт и чтобы в нём были разные шуршащие предметы,6.169925001,игрушка нужный лабиринт разный шуршать предмет,"6,988684687",6.442943496,1,1,0,1,0,"['игрушка', 'нужный', 'лабиринт', 'разный', 'шуршать', 'предмет']"
8,24015625118,ухаживать за&nbsp; ними&nbsp; и делать равлечение,ухаживать за ними и делать развлечение,5.247927513,ухаживать делать развлечение,"7,139551352",3.906890596,2,1,0,1,0,"['ухаживать', 'делать', 'развлечение']"
9,24005706670,ухаживать,ухаживать,3.169925001,ухаживать,"4,807354922",4.247927513,0,0,1,0,0,['ухаживать']
10,24014576948,1.поставить лаберинт<div>2.поставить домик</div><div>3.поставить колесо</div><div>4.поставить в клетку шуршащии и звенящии игрушки</div>,поставить лабиринт поставить домик поставить колесо поставить в клетку шуршащие и звенящие игрушки,6.614709844,поставить лабиринт поставить домик поставить колесо поставить клетка шуршать звенящий игрушка,"8,299208018",2,4.247927513,2,0,0,1,"['поставить', 'лабиринт', 'поставить', 'домик', 'поставить', 'колесо', 'поставить', 'клетка', 'шуршать', 'звенящий', 'игрушка']"
11,52031238947,построить в клетке лабиринт и колесо для бега,построить в клетке лабиринт и колесо для бега,5.491853096,построить клетка лабиринт колесо,"7,499176194",6.079591449,0,1,0,1,0,"['построить', 'клетка', 'лабиринт', 'колесо']"
